Borough,Demographic Category,Demographic Variable,Cohort Year,Cohort,Total Cohort #,Total Grads #,Total Grads % of cohort,Total Regents #,Total Regents % of cohort,Total Regents % of grads,Advanced Regents #,Advanced Regents % of cohort,Advanced Regents % of grads,Regents w/o Advanced #,Regents w/o Advanced % of cohort,Regents w/o Advanced % of grads,Local #,Local % of cohort,Local % of grads,Still Enrolled #,Still Enrolled % of cohort,Dropped Out #,Dropped Out % of cohort,SACC (IEP Diploma) #,SACC (IEP Diploma) % of cohort,TASC (GED) #,TASC (GED) % of cohort
Bronx,All Students,All Students,"2,001",4 year June,"11,453",4913,42.9,2644,23.1,53.8,998,8.7,20.3,1646,14.4,33.5,2271,19.8,46.2,3512,30.7,2438,21.3,520,4.5,67,0.6
Bronx,All Students,All Students,"2,013",5 year August,"13,634",9772,71.7,8503,62.4,87,1550,11.4,15.9,6953,51,71.2,1269,9.3,13,1172,8.6,2264,16.6,263,1.9,162,1.2
Bronx,All Students,All Students,"2,012",5 year August,"13,802",9663,70,8587,62.2,88.9,1505,10.9,15.6,7082,51.3,73.3,1076,7.8,11.1,1342,9.7,2377,17.2,287,2.1,121,0.9
Bronx,All Students,All Students,"2,011",5 year August,"14,187",9686,68.3,8680,61.2,89.6,1497,10.6,15.5,7183,50.6,74.2,1006,7.1,10.4,1329,9.4,2661,18.8,355,2.5,140,1
Bronx,All Students,All Students,"2,010",5 year August,"14,144",9330,66,8375,59.2,89.8,1478,10.4,15.8,6897,48.8,73.9,955,6.8,10.2,1518,10.7,2771,19.6,353,2.5,158,1.1
Bronx,All Students,All Students,"2,009",5 year August,"14,971",9721,64.9,8838,59,90.9,1581,10.6,16.3,7257,48.5,74.7,883,5.9,9.1,1710,11.4,3013,20.1,317,2.1,198,1.3
Bronx,All Students,All Students,"2,008",5 year August,"15,407",9579,62.2,8768,56.9,91.5,1558,10.1,16.3,7210,46.8,75.3,811,5.3,8.5,1761,11.4,3233,21,608,3.9,213,1.4
Bronx,All Students,All Students,"2,007",5 year August,"15,798",10063,63.7,7679,48.6,76.3,1592,10.1,15.8,6087,38.5,60.5,2384,15.1,23.7,1092,6.9,3756,23.8,583,3.7,277,1.8
Bronx,All Students,All Students,"2,006",5 year August,"15,989",10112,63.2,6874,43,68,1577,9.9,15.6,5297,33.1,52.4,3238,20.3,32,1402,8.8,3346,20.9,726,4.5,382,2.4
Bronx,All Students,All Students,"2,013",5 year June,"13,634",9687,71.1,8454,62,87.3,1550,11.4,16,6904,50.6,71.3,1233,9,12.7,1256,9.2,2265,16.6,263,1.9,162,1.2
Bronx,All Students,All Students,"2,012",5 year June,"13,802",9570,69.3,8535,61.8,89.2,1505,10.9,15.7,7030,50.9,73.5,1035,7.5,10.8,1431,10.4,2381,17.3,287,2.1,121,0.9
Bronx,All Students,All Students,"2,011",5 year June,"14,187",9547,67.3,8589,60.5,90,1497,10.6,15.7,7092,50,74.3,958,6.8,10,1466,10.3,2662,18.8,356,2.5,140,1
Bronx,All Students,All Students,"2,010",5 year June,"14,144",9193,65,8274,58.5,90,1478,10.4,16.1,6796,48,73.9,919,6.5,10,1649,11.7,2775,19.6,355,2.5,158,1.1
Bronx,All Students,All Students,"2,009",5 year June,"14,971",9507,63.5,8664,57.9,91.1,1581,10.6,16.6,7083,47.3,74.5,843,5.6,8.9,1918,12.8,3016,20.1,320,2.1,198,1.3
Bronx,All Students,All Students,"2,008",5 year June,"15,407",9383,60.9,8617,55.9,91.8,1558,10.1,16.6,7059,45.8,75.2,766,5,8.2,1945,12.6,3239,21,613,4,213,1.4
Bronx,All Students,All Students,"2,007",5 year June,"15,798",9897,62.6,7610,48.2,76.9,1592,10.1,16.1,6018,38.1,60.8,2287,14.5,23.1,1202,7.6,3806,24.1,589,3.7,277,1.8
Bronx,All Students,All Students,"2,006",5 year June,"15,989",9922,62.1,6822,42.7,68.8,1577,9.9,15.9,5245,32.8,52.9,3100,19.4,31.2,1530,9.6,3412,21.3,726,4.5,376,2.4
Bronx,All Students,All Students,"2,005",5 year June,"15,447",9680,62.7,6090,39.4,62.9,1561,10.1,16.1,4529,29.3,46.8,3590,23.2,37.1,1569,10.2,3100,20.1,637,4.1,437,2.8
Bronx,All Students,All Students,"2,004",5 year June,"14,465",8856,61.2,4981,34.4,56.2,1421,9.8,16,3560,24.6,40.2,3875,26.8,43.8,1587,11,2991,20.7,574,4,454,3.1
Bronx,All Students,All Students,"2,003",5 year June,"13,632",7728,56.7,4179,30.7,54.1,1271,9.3,16.4,2908,21.3,37.6,3549,26,45.9,1879,13.8,3211,23.6,602,4.4,197,1.4
Bronx,All Students,All Students,"2,002",5 year June,"12,032",6582,54.7,3401,28.3,51.7,1013,8.4,15.4,2388,19.8,36.3,3232,26.9,49.1,1724,14.3,3008,25,464,3.9,199,1.7
Bronx,All Students,All Students,"2,001",5 year June,"11,453",6058,52.9,2859,25,47.2,1022,8.9,16.9,1837,16,30.3,3209,28,53,1412,12.3,3178,27.7,727,6.3,67,0.6
Bronx,All Students,All Students,"2,012",6 year June,"13,759",9962,72.4,8766,63.7,88,1505,10.9,15.1,7261,52.8,72.9,1196,8.7,12,815,5.9,2553,18.6,302,2.2,124,0.9
Bronx,All Students,All Students,"2,011",6 year June,"14,241",9939,69.8,8835,62,88.9,1497,10.5,15.1,7338,51.5,73.8,1104,7.8,11.1,933,6.6,2842,20,361,2.5,156,1.1
Bronx,All Students,All Students,"2,010",6 year June,"14,105",9663,68.5,8587,60.9,88.9,1478,10.5,15.3,7109,50.4,73.6,1076,7.6,11.1,924,6.6,2980,21.1,366,2.6,161,1.1
Bronx,All Students,All Students,"2,009",6 year June,"14,952",10072,67.4,9096,60.8,90.3,1581,10.6,15.7,7515,50.3,74.6,976,6.5,9.7,1064,7.1,3261,21.8,336,2.2,205,1.4
Bronx,All Students,All Students,"2,008",6 year June,"15,361",9917,64.6,9013,58.7,90.9,1558,10.1,15.7,7455,48.5,75.2,904,5.9,9.1,988,6.4,3455,22.5,792,5.2,199,1.3
Bronx,All Students,All Students,"2,007",6 year June,"15,690",10364,66.1,7825,49.9,75.5,1592,10.1,15.4,6233,39.7,60.1,2539,16.2,24.5,568,3.6,3859,24.6,618,3.9,259,1.7
Bronx,All Students,All Students,"2,006",6 year June,"15,510",10372,66.9,6929,44.7,66.8,1576,10.2,15.2,5353,34.5,51.6,3443,22.2,33.2,632,4.1,3477,22.4,654,4.2,350,2.3
Bronx,All Students,All Students,"2,005",6 year June,"15,470",10139,65.5,6183,40,61,1563,10.1,15.4,4620,29.9,45.6,3956,25.6,39,966,6.2,3264,21.1,684,4.4,388,2.5
Bronx,All Students,All Students,"2,004",6 year June,"14,452",9307,64.4,5065,35,54.4,1424,9.9,15.3,3641,25.2,39.1,4242,29.4,45.6,1094,7.6,3233,22.4,587,4.1,201,1.4
Bronx,All Students,All Students,"2,003",6 year June,"13,681",8186,59.8,4255,31.1,52,1272,9.3,15.5,2983,21.8,36.4,3931,28.7,48,1032,7.5,3481,25.4,634,4.6,333,2.4
Bronx,All Students,All Students,"2,002",6 year June,"12,032",6964,57.9,3459,28.7,49.7,1014,8.4,14.6,2445,20.3,35.1,3556,29.6,51.1,1024,8.5,3255,27.1,532,4.4,202,1.7
Bronx,All Students,All Students,"2,001",6 year June,"11,453",6360,55.5,2895,25.3,45.5,1022,8.9,16.1,1873,16.4,29.4,3501,30.6,55,610,5.3,3614,31.6,791,6.9,67,0.6
Bronx,ELL Status,Current ELL,"2,014",4 year August,"1,968",689,35,437,22.2,63.4,2,0.1,0.3,435,22.1,63.1,252,12.8,36.6,661,33.6,554,28.2,23,1.2,41,2.1
Bronx,ELL Status,Current ELL,"2,013",4 year August,"1,776",575,32.4,407,22.9,70.8,1,0.1,0.2,406,22.9,70.6,168,9.5,29.2,643,36.2,479,27,41,2.3,36,2
Bronx,ELL Status,Current ELL,"2,012",4 year August,"1,740",550,31.6,415,23.9,75.5,10,0.6,1.8,405,23.3,73.6,135,7.8,24.5,652,37.5,469,27,42,2.4,27,1.6
Bronx,ELL Status,Current ELL,"2,011",4 year August,"1,906",719,37.7,610,32,84.8,21,1.1,2.9,589,30.9,81.9,109,5.7,15.2,676,35.5,410,21.5,69,3.6,30,1.6
Bronx,ELL Status,Current ELL,"2,014",4 year June,"1,968",586,29.8,389,19.8,66.4,2,0.1,0.3,387,19.7,66,197,10,33.6,762,38.7,554,28.2,25,1.3,41,2.1
Bronx,ELL Status,Current ELL,"2,013",4 year June,"1,776",485,27.3,347,19.5,71.5,1,0.1,0.2,346,19.5,71.3,138,7.8,28.5,733,41.3,479,27,41,2.3,36,2
Bronx,ELL Status,Current ELL,"2,012",4 year June,"1,740",493,28.3,380,21.8,77.1,10,0.6,2,370,21.3,75.1,113,6.5,22.9,707,40.6,469,27,44,2.5,27,1.6
Bronx,ELL Status,Current ELL,"2,011",4 year June,"1,906",633,33.2,551,28.9,87,21,1.1,3.3,530,27.8,83.7,82,4.3,13,761,39.9,410,21.5,70,3.7,30,1.6
Bronx,ELL Status,Current ELL,"2,013",5 year August,"1,664",647,38.9,420,25.2,64.9,1,0.1,0.2,419,25.2,64.8,227,13.6,35.1,256,15.4,630,37.9,98,5.9,33,2
Bronx,ELL Status,Current ELL,"2,012",5 year August,"1,682",643,38.2,456,27.1,70.9,10,0.6,1.6,446,26.5,69.4,187,11.1,29.1,264,15.7,629,37.4,118,7,26,1.5
Bronx,ELL Status,Current ELL,"2,013",5 year June,"1,664",630,37.9,417,25.1,66.2,1,0.1,0.2,416,25,66,213,12.8,33.8,272,16.3,631,37.9,98,5.9,33,2
Bronx,ELL Status,Current ELL,"2,012",5 year June,"1,682",624,37.1,447,26.6,71.6,10,0.6,1.6,437,26,70,177,10.5,28.4,281,16.7,631,37.5,118,7,26,1.5
Bronx,ELL Status,Current ELL,"2,012",6 year June,"1,660",680,41,470,28.3,69.1,10,0.6,1.5,460,27.7,67.6,210,12.7,30.9,158,9.5,676,40.7,124,7.5,21,1.3
Bronx,ELL Status,Current ELL,"2,011",6 year June,"1,810",866,47.8,690,38.1,79.7,21,1.2,2.4,669,37,77.3,176,9.7,20.3,175,9.7,632,34.9,108,6,27,1.5
Bronx,ELL Status,ELL,"2,014",4 year August,"1,968",689,35,437,22.2,63.4,2,0.1,0.3,435,22.1,63.1,252,12.8,36.6,661,33.6,554,28.2,23,1.2,41,2.1
Bronx,ELL Status,ELL,"2,013",4 year August,"1,776",575,32.4,407,22.9,70.8,1,0.1,0.2,406,22.9,70.6,168,9.5,29.2,643,36.2,479,27,41,2.3,36,2
Bronx,ELL Status,ELL,"2,012",4 year August,"1,740",550,31.6,415,23.9,75.5,10,0.6,1.8,405,23.3,73.6,135,7.8,24.5,652,37.5,469,27,42,2.4,27,1.6
Bronx,ELL Status,ELL,"2,011",4 year August,"1,906",719,37.7,610,32,84.8,21,1.1,2.9,589,30.9,81.9,109,5.7,15.2,676,35.5,410,21.5,69,3.6,30,1.6
Bronx,ELL Status,ELL,"2,010",4 year August,"2,102",746,35.5,643,30.6,86.2,36,1.7,4.8,607,28.9,81.4,103,4.9,13.8,744,35.4,520,24.7,63,3,29,1.4
Bronx,ELL Status,ELL,"2,009",4 year August,"2,204",747,33.9,652,29.6,87.3,31,1.4,4.1,621,28.2,83.1,95,4.3,12.7,819,37.2,544,24.7,66,3,25,1.1
Bronx,ELL Status,ELL,"2,008",4 year August,"2,255",757,33.6,621,27.5,82,29,1.3,3.8,592,26.3,78.2,136,6,18,842,37.3,514,22.8,96,4.3,43,1.9
Bronx,ELL Status,ELL,"2,007",4 year August,"2,230",852,38.2,508,22.8,59.6,23,1,2.7,485,21.7,56.9,344,15.4,40.4,742,33.3,484,21.7,100,4.5,48,2.2
Bronx,ELL Status,ELL,"2,006",4 year August,"2,143",899,42,422,19.7,46.9,31,1.4,3.4,391,18.2,43.5,477,22.3,53.1,619,28.9,424,19.8,125,5.8,76,3.5
Bronx,ELL Status,ELL,"2,005",4 year August,"1,940",792,40.8,332,17.1,41.9,53,2.7,6.7,279,14.4,35.2,460,23.7,58.1,587,30.3,357,18.4,116,6,88,4.5
Bronx,ELL Status,ELL,"2,014",4 year June,"1,968",586,29.8,389,19.8,66.4,2,0.1,0.3,387,19.7,66,197,10,33.6,762,38.7,554,28.2,25,1.3,41,2.1
Bronx,ELL Status,ELL,"2,013",4 year June,"1,776",485,27.3,347,19.5,71.5,1,0.1,0.2,346,19.5,71.3,138,7.8,28.5,733,41.3,479,27,41,2.3,36,2
Bronx,ELL Status,ELL,"2,012",4 year June,"1,740",493,28.3,380,21.8,77.1,10,0.6,2,370,21.3,75.1,113,6.5,22.9,707,40.6,469,27,44,2.5,27,1.6
Bronx,ELL Status,ELL,"2,011",4 year June,"1,906",633,33.2,551,28.9,87,21,1.1,3.3,530,27.8,83.7,82,4.3,13,761,39.9,410,21.5,70,3.7,30,1.6
Bronx,ELL Status,ELL,"2,010",4 year June,"2,102",649,30.9,560,26.6,86.3,36,1.7,5.5,524,24.9,80.7,89,4.2,13.7,841,40,520,24.7,63,3,29,1.4
Bronx,ELL Status,ELL,"2,009",4 year June,"2,204",592,26.9,525,23.8,88.7,26,1.2,4.4,499,22.6,84.3,67,3,11.3,969,44,544,24.7,71,3.2,25,1.1
Bronx,ELL Status,ELL,"2,008",4 year June,"2,255",638,28.3,545,24.2,85.4,29,1.3,4.5,516,22.9,80.9,93,4.1,14.6,960,42.6,514,22.8,97,4.3,43,1.9
Bronx,ELL Status,ELL,"2,007",4 year June,"2,230",720,32.3,461,20.7,64,22,1,3.1,439,19.7,61,259,11.6,36,868,38.9,490,22,102,4.6,46,2.1
Bronx,ELL Status,ELL,"2,006",4 year June,"2,143",791,36.9,396,18.5,50.1,30,1.4,3.8,366,17.1,46.3,395,18.4,49.9,722,33.7,429,20,125,5.8,76,3.5
Bronx,ELL Status,ELL,"2,005",4 year June,"1,940",694,35.8,317,16.3,45.7,53,2.7,7.6,264,13.6,38,377,19.4,54.3,685,35.3,357,18.4,116,6,88,4.5
Bronx,ELL Status,ELL,"2,004",4 year June,"1,894",640,33.8,214,11.3,33.4,27,1.4,4.2,187,9.9,29.2,426,22.5,66.6,711,37.5,437,23.1,89,4.7,17,0.9
Bronx,ELL Status,ELL,"2,003",4 year June,"1,905",391,20.5,95,5,24.3,12,0.6,3.1,83,4.4,21.2,296,15.5,75.7,790,41.5,586,30.8,106,5.6,32,1.7
Bronx,ELL Status,ELL,"2,002",4 year June,"1,693",333,19.7,77,4.5,23.1,7,0.4,2.1,70,4.1,21,257,15.2,77.2,725,42.8,509,30.1,99,5.8,18,1.1
Bronx,ELL Status,ELL,"2,001",4 year June,"1,984",388,19.6,78,3.9,20.1,10,0.5,2.6,68,3.4,17.5,311,15.7,80.2,799,40.3,592,29.8,188,9.5,17,0.9
Bronx,ELL Status,ELL,"2,013",5 year August,"1,664",647,38.9,420,25.2,64.9,1,0.1,0.2,419,25.2,64.8,227,13.6,35.1,256,15.4,630,37.9,98,5.9,33,2
Bronx,ELL Status,ELL,"2,012",5 year August,"1,682",643,38.2,456,27.1,70.9,10,0.6,1.6,446,26.5,69.4,187,11.1,29.1,264,15.7,629,37.4,118,7,26,1.5
Bronx,ELL Status,ELL,"2,011",5 year August,"1,816",833,45.9,677,37.3,81.3,21,1.2,2.5,656,36.1,78.8,156,8.6,18.7,264,14.5,585,32.2,105,5.8,27,1.5
Bronx,ELL Status,ELL,"2,010",5 year August,"2,041",900,44.1,753,36.9,83.7,37,1.8,4.1,716,35.1,79.6,147,7.2,16.3,312,15.3,696,34.1,100,4.9,33,1.6
Bronx,ELL Status,ELL,"2,009",5 year August,"2,121",928,43.8,778,36.7,83.8,29,1.4,3.1,749,35.3,80.7,150,7.1,16.2,382,18,694,32.7,84,4,29,1.4
Bronx,ELL Status,ELL,"2,008",5 year August,"2,176",912,41.9,718,33,78.7,29,1.3,3.2,689,31.7,75.5,194,8.9,21.3,381,17.5,679,31.2,165,7.6,37,1.7
Bronx,ELL Status,ELL,"2,007",5 year August,"2,137",1029,48.2,568,26.6,55.2,24,1.1,2.3,544,25.5,52.9,461,21.6,44.8,179,8.4,727,34,162,7.6,37,1.7
Bronx,ELL Status,ELL,"2,006",5 year August,"2,225",1043,46.9,442,19.9,42.4,31,1.4,3,411,18.5,39.4,601,27,57.6,299,13.4,624,28,194,8.7,63,2.8
Bronx,ELL Status,ELL,"2,013",5 year June,"1,664",630,37.9,417,25.1,66.2,1,0.1,0.2,416,25,66,213,12.8,33.8,272,16.3,631,37.9,98,5.9,33,2
Bronx,ELL Status,ELL,"2,012",5 year June,"1,682",624,37.1,447,26.6,71.6,10,0.6,1.6,437,26,70,177,10.5,28.4,281,16.7,631,37.5,118,7,26,1.5
Bronx,ELL Status,ELL,"2,011",5 year June,"1,816",811,44.7,665,36.6,82,21,1.2,2.6,644,35.5,79.4,146,8,18,286,15.7,585,32.2,105,5.8,27,1.5
Bronx,ELL Status,ELL,"2,010",5 year June,"2,041",879,43.1,737,36.1,83.8,37,1.8,4.2,700,34.3,79.6,142,7,16.2,331,16.2,698,34.2,100,4.9,33,1.6
Bronx,ELL Status,ELL,"2,009",5 year June,"2,121",885,41.7,750,35.4,84.7,29,1.4,3.3,721,34,81.5,135,6.4,15.3,423,19.9,694,32.7,86,4.1,29,1.4
Bronx,ELL Status,ELL,"2,008",5 year June,"2,176",875,40.2,696,32,79.5,29,1.3,3.3,667,30.7,76.2,179,8.2,20.5,416,19.1,679,31.2,167,7.7,37,1.7
Bronx,ELL Status,ELL,"2,007",5 year June,"2,137",994,46.5,556,26,55.9,24,1.1,2.4,532,24.9,53.5,438,20.5,44.1,206,9.6,733,34.3,164,7.7,37,1.7
Bronx,ELL Status,ELL,"2,006",5 year June,"2,225",1018,45.8,438,19.7,43,31,1.4,3,407,18.3,40,580,26.1,57,321,14.4,628,28.2,194,8.7,61,2.7
Bronx,ELL Status,ELL,"2,005",5 year June,"1,967",923,46.9,357,18.1,38.7,53,2.7,5.7,304,15.5,32.9,566,28.8,61.3,280,14.2,530,26.9,163,8.3,70,3.6
Bronx,ELL Status,ELL,"2,004",5 year June,"1,902",843,44.3,234,12.3,27.8,27,1.4,3.2,207,10.9,24.6,609,32,72.2,284,14.9,541,28.4,145,7.6,89,4.7
Bronx,ELL Status,ELL,"2,003",5 year June,"1,905",610,32,112,5.9,18.4,13,0.7,2.1,99,5.2,16.2,498,26.1,81.6,339,17.8,718,37.7,206,10.8,32,1.7
Bronx,ELL Status,ELL,"2,002",5 year June,"1,693",474,28,89,5.3,18.8,8,0.5,1.7,81,4.8,17.1,388,22.9,81.9,352,20.8,678,40,161,9.5,19,1.1
Bronx,ELL Status,ELL,"2,001",5 year June,"1,984",612,30.8,110,5.5,18,11,0.6,1.8,99,5,16.2,503,25.4,82.2,333,16.8,758,38.2,264,13.3,17,0.9
Bronx,ELL Status,ELL,"2,012",6 year June,"1,660",680,41,470,28.3,69.1,10,0.6,1.5,460,27.7,67.6,210,12.7,30.9,158,9.5,676,40.7,124,7.5,21,1.3
Bronx,ELL Status,ELL,"2,011",6 year June,"1,810",866,47.8,690,38.1,79.7,21,1.2,2.4,669,37,77.3,176,9.7,20.3,175,9.7,632,34.9,108,6,27,1.5
Bronx,ELL Status,ELL,"2,010",6 year June,"2,002",942,47.1,769,38.4,81.6,37,1.8,3.9,732,36.6,77.7,173,8.6,18.4,175,8.7,746,37.3,107,5.3,32,1.6
Bronx,ELL Status,ELL,"2,009",6 year June,"2,101",972,46.3,802,38.2,82.5,29,1.4,3,773,36.8,79.5,170,8.1,17.5,261,12.4,743,35.4,89,4.2,31,1.5
Bronx,ELL Status,ELL,"2,008",6 year June,"2,199",959,43.6,743,33.8,77.5,29,1.3,3,714,32.5,74.5,216,9.8,22.5,236,10.7,736,33.5,231,10.5,36,1.6
Bronx,ELL Status,ELL,"2,007",6 year June,"2,115",1070,50.6,587,27.8,54.9,24,1.1,2.2,563,26.6,52.6,483,22.8,45.1,86,4.1,752,35.6,169,8,35,1.7
Bronx,ELL Status,ELL,"2,006",6 year June,"2,079",1082,52,449,21.6,41.5,31,1.5,2.9,418,20.1,38.6,633,30.4,58.5,111,5.3,652,31.4,180,8.7,53,2.5
Bronx,ELL Status,ELL,"2,005",6 year June,"1,953",990,50.7,364,18.6,36.8,54,2.8,5.5,310,15.9,31.3,626,32.1,63.2,151,7.7,578,29.6,175,9,57,2.9
Bronx,ELL Status,ELL,"2,004",6 year June,"1,902",906,47.6,237,12.5,26.2,28,1.5,3.1,209,11,23.1,669,35.2,73.8,208,10.9,601,31.6,149,7.8,36,1.9
Bronx,ELL Status,ELL,"2,003",6 year June,"1,890",674,35.7,118,6.2,17.5,13,0.7,1.9,105,5.6,15.6,556,29.4,82.5,176,9.3,771,40.8,210,11.1,59,3.1
Bronx,ELL Status,ELL,"2,002",6 year June,"1,693",563,33.3,94,5.6,16.7,8,0.5,1.4,86,5.1,15.3,472,27.9,83.8,191,11.3,724,42.8,187,11,19,1.1
Bronx,ELL Status,ELL,"2,001",6 year June,"1,984",689,34.7,111,5.6,16.1,11,0.6,1.6,100,5,14.5,583,29.4,84.6,143,7.2,843,42.5,292,14.7,17,0.9
Bronx,ELL Status,Ever ELL,"2,014",4 year August,"2,860",2360,82.5,2133,74.6,90.4,295,10.3,12.5,1838,64.3,77.9,227,7.9,9.6,323,11.3,154,5.4,3,0.1,20,0.7
Bronx,ELL Status,Ever ELL,"2,013",4 year August,"2,448",1988,81.2,1804,73.7,90.7,232,9.5,11.7,1572,64.2,79.1,184,7.5,9.3,311,12.7,134,5.5,3,0.1,12,0.5
Bronx,ELL Status,Ever ELL,"2,012",4 year August,"2,710",2186,80.7,2023,74.6,92.5,228,8.4,10.4,1795,66.2,82.1,163,6,7.5,410,15.1,104,3.8,6,0.2,4,0.1
Bronx,ELL Status,Ever ELL,"2,011",4 year August,"2,226",1687,75.8,1542,69.3,91.4,191,8.6,11.3,1351,60.7,80.1,145,6.5,8.6,417,18.7,97,4.4,20,0.9,5,0.2
Bronx,ELL Status,Ever ELL,"2,014",4 year June,"2,860",2236,78.2,2045,71.5,91.5,295,10.3,13.2,1750,61.2,78.3,191,6.7,8.5,447,15.6,154,5.4,3,0.1,20,0.7
Bronx,ELL Status,Ever ELL,"2,013",4 year June,"2,448",1920,78.4,1755,71.7,91.4,232,9.5,12.1,1523,62.2,79.3,165,6.7,8.6,378,15.4,134,5.5,4,0.2,12,0.5
